"ID_position","ID_site","GPS_x","GPS_x_accur","GPS_y","GPS_y_accur","elevation","macroexposure_d","macroexposure","slope","exposure_d","exposure","microtopography","wind_edge","soil_depth","soil_moist","ID_species","species","position_description","soil_sample_GMT","pH_CaCl2","water_soluble_P","citricacid_soluble_P","carbon","nitrogen","C_N_ratio","d13C","d15N","Temp_min","Temp_max","Temp_ampl","Temp_ampl_max","Temp_min_JS","Temp_min_snowfree","GDH.0_SS","GDH.0_JA","GDH.0_MA","GDH.5_SS","GDH.5_JA","GDH.5_MA","FDH.0_OA","wintersnow19_GMT","wintersnow19_day","snowfree20_GMT","snowfree20_day","seasonstart20_GMT","seasonstart20_day","wintersnow20_GMT","wintersnow20_day","days_snow19_20","days_snowfree20","days_frozen","days_growper20.1","days_growper20.5","Indval_T","Indval_N","Indval_L","Indval_F","Indval_H","Indval_R","Carexcurvula","Nardusstricta","Achilleaerbarotta","Adenostylesalliariae","Agrostisalpina","Agrostisrupestris","Agrostisschraderiana","Alchemillapentaphyllea","Alchemillavulgaris","Antennariacarpatica","Anthoxanthumalpinum","Arenariabiflora","Arnicamontana","Avenellaflexuosa","Campanulabarbata","Campanulascheuchzeri","Cardamineresedifolia","Carexfoetida","Carexpallescens","Carexsempervirens","Cerastiumcerastoides","Cirsiumspinosissimum","Elynamyosuroides","Epilobiumanagallidifolium","Euphrasiaminima","Festucaviolacea","Festucasp","Galiumanisophyllon","Gentianaacaulis","Gentianabavarica","Gentianapunctata","Gentianapurpurea","Geummontanum","Gnaphaliumhoppeanum","Gnaphaliumnorvegicum","Gnaphaliumsupinum","Helictotrichonversicolor","Hieraciumalpinum","Hieraciumpiliferum","Homogynealpina","Juncusjacquinii","Juncustrifidus","Leontodonhelveticus","Leontodonhispidus","Leucanthemopsisalpina","Ligusticummutellina","Ligusticummutellinoides","Loiseleuriaprocumbens","Lotuscorniculatus","Luzulaalpinopilosa","Luzulalutea","Luzulaspicata","Minuartiasedoides","Myosotisalpestris","Pediculariskerneri","Peucedanumostruthium","Phleumalpinum","Phleumrhaeticum","Phyteumabetonicifolium","Phyteumahemisphaericum","Poaalpina","Polygonumviviparum","Potentillaaurea","Primulahirsuta","Pulsatillavernalis","Pulsatillaalpinaapiifolia","Ranunculusaconitifolius","Ranunculusmontanus","Ranunculusvillarsii","Saginasaginoides","Salixherbacea","Saxifragabryoides","Sedumalpestre","Sempervivummontanum","Senecioincanusincanus","Sibbaldiaprocumbens","Sileneexscapa","Soldanellapusilla","Solidagovirgaureaminuta","Trifoliumalpinum","Trisetumspicatum","Vacciniumgaultherioides","Vacciniummyrtillus","Vacciniumvitisidaea","Veronicaalpina","Veronicabellidioides"
51,2,2674639,5,1159276,5,2732,75,"E",7,60,"NE","flat",FALSE,14.33,34.81,16,"Cc","Grenze von Dominanzbereich Carex zu Dominanz Salix herbacea; hier unter Carex-Horst",2020-09-18 11:05:00,3.93,6.9,31.3,41,2.8,14.7,-24.61,2.21,-3.3624,20.7144,24.0768,13.3596,1.1037,0.0977,33058.6932,9320.0706,21886.1602,14982.8386,5482.6624,10915.8642,-4159.6424,2019-11-02 01:00:00,63,2020-04-22 11:00:00,235,2020-04-22 11:00:00,235,2020-09-24 23:00:00,390,172,155,84,180,120,1.25,2.25,4.75,3.0625,3.25,2.375,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.02,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
52,2,2674639,5,1159276,5,2732,75,"E",14,11,"N","convex",FALSE,12.33,42.27,16,"Cc","unter Carex-Horst, der sehr weit ins Schneetälchen geht",2020-09-18 11:10:00,3.91,5.1,32.2,36.8,2.5,14.9,-24.68,2.54,-0.6474,23.2154,23.8628,19.3935,0.1081,0.1081,24472.9552,9108.9606,15797.415,12476.3676,5315.788,8983.5322,-738.064,2019-10-04 01:00:00,34,2020-06-03 11:00:00,277,2020-06-03 11:00:00,277,2020-09-24 23:00:00,390,243,113,54,108,86,1.11111111111111,2.22222222222222,4.66666666666667,2.88888888888889,3,2.11111111111111,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01
53,3,2674699,5,1159300,5,2715,161,"S",9,167,"S","concave",FALSE,14.33,40.3,54,"Ns","Höchster Nardus",2020-09-18 12:10:00,3.95,6.4,126.9,26.4,2.3,11.5,-24,0.69,0.047,24.8007,24.7537,16.7468,0.1725,0.9877,27801.694,9330.3204,14827.6416,12835.722,5511.9304,8150.5002,0,2019-11-02 01:00:00,63,2020-06-23 11:00:00,297,2020-06-23 11:00:00,297,2020-09-24 23:00:00,390,234,93,0,136,92,1.31818181818182,2.36363636363636,4.36363636363636,3.45454545454545,3.4,2.09090909090909,0,0.2,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
54,3,2674699,5,1159300,5,2715,161,"S",13,159,"S","flat",FALSE,18.67,20.6333333333333,16,"Cc","Carex-Horst; hier aber eigentlich kaum Carex im Schneetälchen",2020-09-18 12:20:00,3.8,5.7,55.7,35.2,2.6,13.6,-23.63,2.62,-0.0273,25.2461,25.2734,18.2335,0.0983,1.7532,27651.402,9670.3992,15160.2292,14167.4268,5858.6514,8872.1224,-0.273,2019-11-02 01:00:00,63,2020-06-25 13:00:00,299,2020-06-25 13:00:00,299,2020-09-24 23:00:00,390,236,91,0,128,91,1.25,2.25,4.5,3.1875,3.5,2.125,0.3,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03,0
55,3,2674699,5,1159300,5,2715,161,"S",10,168,"S","flat",FALSE,12.67,32.2333333333333,NA,"Con","Kontrolle zu 53, 54; unter Salix herbacea",2020-09-18 12:15:00,3.83,7.3,48.3,33.5,2.6,12.9,-23.53,1.7,0.0153,23.3586,23.3433,17.4803,0.0781,2.6017,27367.6954,9355.9122,14873.0664,13547.0384,5530.8422,8501.2488,0,2019-11-02 01:00:00,63,2020-06-24 07:00:00,298,2020-06-24 07:00:00,298,2020-09-24 23:00:00,390,235,92,0,130,91,1.4375,2.4375,4.5,3.375,3.57142857142857,2.25,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
56,4,2674778,5,1159212,5,2686,168,"S",26,177,"S","convex",FALSE,18.67,34.69,54,"Ns","in Nardus-Horst Gruppe",2020-09-18 13:20:00,3.63,11,51.3,159.3,8.9,17.9,-25.07,3.45,-0.5928,20.5477,21.1405,12.4005,1.5461,0.0973,43488.3374,9269.4428,28755.551,19115.9312,5432.2036,13718.9976,-283.2654,2019-11-02 01:00:00,63,2020-04-01 13:00:00,214,2020-04-01 13:00:00,214,2020-09-24 23:00:00,390,151,176,17,225,161,1.6,2.2,4,2.95,3.22222222222222,2.1,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0.01,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0
57,4,2674778,5,1159212,5,2686,168,"S",23,175,"S","concave",FALSE,16,36.79,NA,"Con","Kontrolle zu 56 (40cm daneben)",2020-09-18 13:25:00,3.52,5.4,46.9,156.2,9,17.4,-25.64,1.84,-0.1513,23.7165,23.8678,15.9783,1.9202,0.0999,44585.363,9811.7238,29836.1604,21602.908,5979.638,15584.1736,-27.2878,2019-11-02 01:00:00,63,2020-04-07 13:00:00,220,2020-04-07 13:00:00,220,2020-09-24 23:00:00,390,157,170,0,217,155,1.38461538461538,2,4.38461538461539,2.76923076923077,3.33333333333333,2,0.2,0.1,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.05,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0.1,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0,0,0,0,0,0.1,0,0,0,0,0,0
58,4,2674778,5,1159212,5,2686,168,"S",21,160,"S","flat",FALSE,9.67,28.48,16,"Cc","unter kleiner Carex",2020-09-18 13:30:00,3.79,5,40.4,127.7,7.8,16.5,-24.97,3.71,-0.6876,25.6758,26.3634,23.2897,1.7589,-0.2485,NA,10098.28,32522.461,NA,6277.922,18021.6244,-122.2316,2019-11-02 01:00:00,63,2020-04-06 11:00:00,219,2020-04-06 11:00:00,219,2020-09-24 23:00:00,390,156,171,1,NA,NA,1.35294117647059,2.11764705882353,4.35294117647059,2.76470588235294,3.13333333333333,2.05882352941176,0.3,0,0,0,0,0.07,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.1,0,0,0.01,0.05,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0.05,0,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0,0.03
59,4,2674778,5,1159212,5,2686,168,"S",20,155,"SE","flat",FALSE,10.67,28.55,NA,"Con","Kontrolle zu 58 (20cm daneben) unter Geum und Trifolium",2020-09-18 13:35:00,3.86,5.6,48.3,138.6,9.1,15.3,-24.97,1.61,-0.3731,23.2278,23.6009,16.0503,1.4505,0.193,46609.0426,10075.3508,31713.4642,23292.2886,6247.1926,17097.5256,-121.9342,2019-11-02 01:00:00,63,2020-04-06 13:00:00,219,2020-04-06 13:00:00,219,2020-09-24 23:00:00,390,156,171,4,217,161,1.30555555555556,2.11111111111111,4.44444444444444,2.52777777777778,3.13333333333333,2.05555555555556,0.4,0,0,0,0,0.05,0,0,0,0,0.02,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.15,0,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0.01,0.03,0,0,0,0.04,0,0,0,0,0,0.01,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0.03
60,4,2674778,5,1159212,5,2686,168,"S",14,137,"SE","convex",FALSE,19.33,26.19,16,"Cc","unter Carex-Horst",2020-09-18 13:40:00,4.11,7.1,32.2,104.5,6.8,15.5,-25.41,1.86,-2.4523,26.0508,28.5031,19.7459,2.327,-2.4523,NA,10886.7168,36155.7124,NA,7059.0574,20346.1992,-840.319,2019-11-03 01:00:00,64,2020-02-04 17:00:00,157,2020-03-20 13:00:00,202,2020-09-24 23:00:00,390,93,233,28,NA,NA,1.375,2,4.375,2.3125,3.5,2,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.05
